Episode,Company ,Idea,Industry,Social Benefit,Tech or not,Deal ,Number of presenters,No of male presenters,No of female presenters,Ask_Amount (INR Lakhs),Ask_Equity,Ask_Valuation (INR Lakhs),Number of Sharks invested,Amount per Shark ,Equity per Shark,Reject_Offer,Receive_Offer,Deal_Amount (INR Lakhs),Deal_Equity,Deal_Valuation ,AshneerGrover_present,AnupamMittal_present,AmanGupta_present,NamitaThapar_present,VineetaSingh_present,PeyushBansal_present,GhazalAlagh_present,AshneerGrover_deal,AnupamMittal_deal,AmanGupta_deal,NamitaThapar_deal,VineetaSingh_deal,PeyushBansal_deal,GhazalAlagh_deal,Season
33,Proxgy,VR,Entertainment,0,1,1,2,2,0,35,1,3500,2,5,5,0,1,10,10,100,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1
34,Nomad Food Project,Bacon Jams,Food and Bevs,0,0,1,2,2,0,40,10,400,4,10,5,0,1,40,20,200,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
34,Twee in One,Reversible and convertible clothing,Clothing,0,0,0,1,0,1,30,7.5,400,0,0,0,NA,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
34,Green Protein,Plant-Based Protein,Food and Bevs,1,0,0,2,1,1,60,2,3000,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
34,On2Cook,Fastest Cooking Device,Home utility,0,1,0,1,1,0,100,1,10000,0,0,0,NA,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
35,Jain Shikanji,Lemonade,Food and Bevs,0,0,1,1,1,0,40,8,500,4,10,7.5,0,1,40,30,133.33,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
35,Woloo,Washroom Finder,Technology,1,1,0,3,1,2,50,4,1250,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
35,Elcare India,Carenting for Elders,Healthcare,1,1,0,3,2,1,100,2.5,4000,0,0,0,NA,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
36,SneaKare,Shoe cleaning kits and storage crates,Home utility,0,0,1,1,1,0,20,5,400,3,7,4,0,1,21,12,175,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1
36,French Crown,Clothing Brand,Clothing,0,0,0,2,2,0,150,0.33,45454.54,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
36,Store My Goods,Storage Solutions,Home utility,0,0,1,3,2,1,100,1.75,5714.28,2,25,2,0,1,50,4,1250,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1
36,Devnagri,Translation services of Indian languages,Marketing,0,1,0,2,2,0,100,1,10000,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
