Series or Movie,IMDb Score,Rotten Tomatoes Score,Awards Received,Awards Nominated For,Boxoffice,Hidden Gem Score
Movie,4.7,13,0,1,5801249,5.7
Movie,8.6,91,75,49,7564459,4.3
Movie,6.3,100,7,13,670883,8
Movie,6.6,84,1,12,105806508,3.6
Movie,7.5,82,2,6,117963,5.7
Movie,6.2,34,2,8,10763520,2.3
Movie,7.5,90,5,61,160799505,3.9
Movie,5.5,65,3,8,127986,7.2
Movie,6.1,58,1,2,17300439,2.7
Movie,7.1,79,2,4,43008075,3.5
Movie,5.9,10,0,1,7032782,2.7
Series,6.5,52,26,69,474544677,2.8
Movie,6.5,76,1,3,84703,7.4
Movie,6.8,86,6,6,19300,8.4
Movie,4.5,11,6,10,100407760,1.4
Movie,6.9,81,11,49,6788692,3.6
Movie,6.9,83,6,10,245127,7.9
Movie,7.2,54,0,4,10205616,3
Movie,7,94,37,58,521396,4.1
Movie,6.7,87,1,21,3072605,3.8
Movie,6.5,60,1,25,102826543,2.9
Movie,8.1,90,132,225,54513740,4.3
Movie,6.7,72,2,20,84410380,3.3
Movie,6.8,89,24,71,2528078,4
Movie,6.9,90,2,3,3355324,7.6
Movie,5.2,18,1,8,21903748,1.7
Movie,7,70,1,10,103804407,3.3
Movie,6,23,1,3,163893,5.8
Movie,7.2,84,39,31,148225,3.8
Movie,8.3,99,5,11,17956913,4.6
Movie,7.2,62,8,7,258771,5.4
Movie,6.7,75,3,5,136492681,3.4
Movie,6.1,26,3,3,15951040,2.2
Movie,6.2,60,54,16,1288549,3
Movie,6.8,57,18,31,252895,7.3
Movie,5.7,50,0,0,20374,7.5
Movie,7.2,52,3,7,45729221,2.9
Movie,5.9,34,0,1,45216793,2.3
Movie,5.3,42,1,0,54611903,2.4
Movie,5.6,26,0,4,77339130,2.1
Movie,8.2,78,58,119,85080171,3.8
Movie,5.7,72,0,1,623088,6.1
Movie,7.5,91,55,119,21198205,4.3
Movie,7.1,95,107,176,14915773,4.2
Movie,5.3,38,0,0,4665,2.2
Movie,5.8,38,0,5,6216897,6
Movie,7.1,64,8,11,1104957,5.3
Movie,7.1,60,2,6,85468508,3.1
Movie,7.9,96,19,32,1527829,4.1
Movie,6.9,67,0,1,104874,6.3
Movie,6.6,63,6,6,475618,6.9
Movie,7.9,98,74,57,2122065,4.3
Movie,7,64,4,7,1487645,5
Movie,6.7,64,1,1,13277558,2.8
Movie,5.8,55,0,1,10003,4.3
Movie,5.8,8,0,0,1359,2.4
Movie,6.6,36,3,22,159555901,2.6
Movie,6.9,89,2,6,11901145,3.8
Movie,6.7,59,2,0,42004346,2.9
Movie,6.9,65,2,39,335061807,3.1
Movie,6.7,51,2,13,100234838,2.7
Movie,6.2,32,4,4,1404061,2.3
Movie,7.6,81,11,9,25788,8.1
Movie,5.5,40,1,0,11107431,2
Movie,6.5,79,3,25,159342015,3.5
Movie,5.3,15,0,4,30824628,1.7
Movie,7.3,77,16,18,955925,3.8
Movie,7.3,87,31,191,44936545,4.1
Movie,7.3,81,2,5,67363237,3.5
Movie,6.4,51,1,7,57005601,2.7
Movie,6.8,73,5,8,35312,8
Series,6.3,56,0,1,105890,7.7
Movie,4.1,0,0,1,252676,2.7
Movie,7,82,3,6,6352306,3.7
Movie,7.8,60,2,9,1861000,3.4
Movie,7.1,94,2,1,13967,8.3
Movie,7.4,81,7,51,28780744,3.8
Movie,7.6,90,95,272,215288866,4.2
Series,4.7,49,0,0,203917,7.2
Movie,5.8,21,0,0,15006824,2.6
Movie,6.8,32,0,1,27112329,2.5
Movie,6,74,1,0,29538,4.5
Movie,7.4,97,24,44,2419031,4.4
Movie,6.9,93,20,56,17493096,4
Movie,6.6,81,2,6,21704844,3.4
Movie,7.8,96,13,27,2402067,4.3
Movie,5.6,62,0,0,5975,7.6
Movie,4.7,7,5,7,40002112,1.2
Movie,6.8,91,2,13,127195589,3.8
Movie,4.3,8,0,3,49662533,1.4
Series,6.2,64,8,14,4936,3
Movie,7.2,52,0,0,2335896,2.9
Movie,6,77,9,12,545597,3.3
Movie,5.5,11,0,1,4046429,1.4
Movie,7.4,84,53,75,56468410,3.9
Movie,5.9,60,0,0,8866745,2.9
Movie,6.3,31,1,4,30669413,2.3
Movie,5.5,33,1,4,187074,6.7
Movie,6.3,60,0,0,78900,7.9
Movie,6.9,32,3,7,4899194,2.5
Movie,7.2,62,14,3,34424,4.7
Movie,6.2,37,1,0,4412170,2.3
Movie,6.8,84,3,4,53548586,3.6
Movie,5.9,35,0,2,13631124,5.1
Movie,7.5,100,1,0,5754556,6.1
Movie,5.3,18,4,0,12138565,1.7
Movie,7.5,88,3,24,11977130,3.8
Movie,5.9,61,2,12,727119,3.1
Movie,5.8,29,5,9,104897530,2.1
Movie,5.2,18,0,3,14837422,1.8
Movie,7.3,69,6,19,18337722,3.5
Movie,7.4,94,27,64,146880162,4.2
Movie,5.6,43,1,8,5539,6.7
Movie,6.8,83,5,6,7825009,3.7
Movie,6.4,65,2,2,56569216,3.2
Movie,6.6,15,0,0,236299,4.6
Movie,7.1,83,1,12,115715889,3.7
Movie,7.6,97,11,57,12320845,4.2
Movie,6.4,33,0,0,21360215,2.3
Series,5.8,38,0,0,12195695,2.5
